species,mt_Clostridium cellulovorans 743B,mt_Escherichia albertii TW07627,mt_Escherichia coli 101-1,mt_Escherichia coli B str. REL606,mt_Escherichia coli B088,mt_Escherichia coli E110019,mt_Escherichia coli E22,mt_Escherichia coli H736,mt_Escherichia coli HS,mt_Escherichia coli MS 196-1,mt_Escherichia coli OP50,mt_Escherichia coli S88,mt_Escherichia coli TA280,mt_Neisseria gonorrhoeae,mt_Propionibacterium acnes KPA171202,mt_Shigella dysenteriae 1012,mt_Citrobacter koseri ATCC BAA-895,mt_Escherichia Sflu5,mt_Escherichia coli 'BL21-Gold(DE3)pLysS AG,mt_Escherichia coli APEC O103,mt_Escherichia coli ATCC 8739,mt_Escherichia coli ED1a,mt_Escherichia coli IAI1,mt_Escherichia coli IAI39,mt_Escherichia coli KO11FL,mt_Escherichia coli MS 187-1,mt_Escherichia coli MS 21-1,mt_Escherichia coli MS 84-1,mt_Escherichia coli NA114,mt_Escherichia coli O127:H6 str. E2348/69,mt_Escherichia coli O157:H7 str. EC4042,mt_Escherichia coli TA143,mt_Plasmodium falciparum HB3,mt_Plasmodium yoelii yoelii 17XNL,mt_Salmonella bongori N268-08,mt_Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189,mt_Shigella dysenteriae 1617,mt_Acinetobacter P8-3-8,mt_Escherichia coli MS 115-1,mt_Neisseria subflava NJ9703,mt_Pediculus humanus,mt_Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,mt_Schistosoma mansoni,mt_Escherichia coli M605,mt_Escherichia coli MS 107-1,mt_Escherichia coli MS 146-1,mt_Escherichia coli O157:H7 str. EDL933,mt_Escherichia coli SMS-3-5,mt_Escherichia coli UMN026,mt_Escherichia fergusonii ATCC 35469,mt_Proteus mirabilis ATCC 29906,mt_Brucella suis bv. 3 str. 686,mt_Enterobacter R4-368,mt_Enterobacter lignolyticus SCF1,mt_Escherichia TW09308,mt_Escherichia coli 1827-70,mt_Escherichia coli APEC O78,mt_Escherichia coli B354,mt_Escherichia coli E24377A,mt_Escherichia coli MS 185-1,mt_Escherichia coli O157:H7 str. EC4206,mt_Escherichia coli O55:H7 str. CB9615,mt_Escherichia coli O55:H7 str. RM12579,mt_Escherichia coli P12b,mt_Pseudomonas fluorescens SBW25,mt_Shigella flexneri 2002017,mt_Shigella sonnei 53G,mt_Shigella sonnei Ss046,mt_Acinetobacter radioresistens SH164,mt_Cryptosporidium parvum Iowa II,mt_Escherichia 3_2_53FAA,mt_Escherichia coli ETEC H10407,mt_Escherichia coli FVEC1302,mt_Escherichia coli H591,mt_Escherichia coli MS 175-1,mt_Pseudomonas TJI-51,mt_Pseudomonas fluorescens A506,mt_Pseudomonas putida GB-1,mt_Pseudomonas putida H8234,mt_Pseudomonas putida ND6,mt_Pseudomonas putida S16,mt_Pseudomonas putida W619,mt_Stenotrophomonas maltophilia R551-3,mt_Escherichia coli BL21(DE3),mt_Escherichia coli O157:H7 str. FRIK966,mt_Helicobacter pylori HPKX_438_AG0C1,mt_Trichinella spiralis,mt_Escherichia 1_1_43,mt_Escherichia coli 2362-75,mt_Escherichia coli ABU 83972,mt_Escherichia coli CFT073,mt_Escherichia coli MS 116-1,mt_Escherichia coli MS 145-7,mt_Escherichia coli MS 182-1,mt_Escherichia coli MS 198-1,mt_Escherichia coli MS 69-1,mt_Escherichia coli O103:H2 str. 12009,mt_Escherichia coli O157:H7 str. EC4401,mt_Escherichia coli SE11,mt_Escherichia coli UMNK88,mt_Escherichia coli W,mt_Pseudomonas putida NBRC 14164,mt_Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,mt_Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,mt_Salmonella enterica subsp. enterica serovar Typhi str. E98-2068,mt_Salmonella enterica subsp. enterica serovar Typhi str. M223,mt_Shigella D9,mt_Shigella boydii CDC 3083-94,mt_Shigella flexneri 2a str. 301,mt_Shigella flexneri 5 str. 8401,mt_Escherichia coli 536,mt_Escherichia coli MS 124-1,mt_Escherichia coli O44:H18,mt_Acinetobacter johnsonii SH046,mt_Escherichia coli NC101,mt_Salmonella enterica subsp. enterica serovar Typhi str. E01-6750,mt_Acinetobacter radioresistens SK82,mt_Brevundimonas BAL3,mt_Citrobacter youngae ATCC 29220,mt_Corynebacterium efficiens YS-314 DSM 44549,mt_Escherichia 4_1_40B,mt_Escherichia coli 55989,mt_Escherichia coli BW2952,mt_Escherichia coli H299,mt_Escherichia coli M718,mt_Escherichia coli O157:H7 str. EC508,mt_Salmonella enterica subsp. enterica serovar Typhi str. 404ty,mt_Sphingomonas S17,label
NPD260391SN,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPD276798SN,2,4,1,1,2,1,0,0,1,4,7,0,1,1,0,0,0,0,7,0,1,0,1,1,0,2,0,1,0,1,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPD291355SN,1,0,2,0,1,0,0,1,0,0,3,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPD291357SN,2,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NPD291358SN,2,0,2,1,2,0,0,0,1,1,2,2,0,0,0,0,1,0,1,1,0,0,1,0,0,3,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
PD276802SN,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PD276810SN,2,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PD276824SN,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PD276830SN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PD276861SN,1,0,0,0,2,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PD291345SN,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
